Date,Open,High,Low,Close,Adj Close,Volume,CloseLong,CloseShort,OpenLong,OpenShort,HighLong,HighShort,LowLong,LowShort
11/10/2021,81.887001,83.549004,81.887001,81.890999,81.890999,0,33,67,35,65,38,69,31,62
12/10/2021,83.334999,83.792999,83.021004,83.317001,83.317001,0,32,68,33,67,36,68,32,64
13/10/2021,83.261002,83.663002,83.125,83.260002,83.260002,0,30,70,33,67,35,71,29,65
14/10/2021,83.686996,84.394997,83.639999,83.629997,83.629997,0,32,68,31,69,33,70,30,67
15/10/2021,84.401001,84.908997,84.335999,84.370003,84.370003,0,27,73,32,68,32,73,27,68
17/10/2021,#N/A,,,,,,28,72,27,73,28,73,27,72
18/10/2021,84.860001,84.860001,84.277,84.878998,84.878998,0,26,74,26,74,26,79,21,74
19/10/2021,84.776001,85.486,84.709999,84.736,84.736,0,30,70,27,73,30,73,27,70
20/10/2021,85.610001,85.919998,85.489998,85.589996,85.589996,0,30,70,29,71,31,73,27,69
21/10/2021,85.976997,86.240997,85.115997,85.957001,85.957001,0,20,80,32,68,32,82,18,68
22/10/2021,84.983002,85.526001,84.681999,84.969002,84.969002,0,22,78,20,80,26,80,20,74
24/10/2021,#N/A,,,,,,22,78,22,78,22,79,21,78
25/10/2021,84.876999,85.299904,84.797218,84.889,84.889,0,24,76,22,78,24,80,20,76
26/10/2021,85.247002,85.913002,85.212997,85.227997,85.227997,0,30,70,26,74,31,74,26,69
27/10/2021,85.797997,86.051003,85.043999,85.782997,85.782997,0,25,75,29,71,29,76,24,71
28/10/2021,85.325996,85.602997,85.113998,85.322998,85.322998,0,26,74,26,74,28,74,26,72
29/10/2021,85.624001,85.861,85.331001,85.564003,85.564003,0,23,77,27,73,27,77,23,73
31/10/2021,#N/A,,,,,,24,76,23,77,24,77,23,76
01/11/2021,85.893997,86.046997,85.611,85.875999,85.875999,0,26,74,26,74,27,76,24,73
02/11/2021,85.809998,85.903999,84.519997,85.802002,85.802002,0,31,69,26,74,31,77,23,69
03/11/2021,84.742996,84.872002,84.505997,84.720001,84.720001,0,32,68,31,69,33,70,30,67
04/11/2021,85.206001,85.206001,83.903999,85.196999,85.196999,0,26,74,32,68,32,77,23,68
05/11/2021,84.300003,84.308998,83.800003,84.334,84.334,0,26,74,25,75,26,76,24,74
07/11/2021,#N/A,,,,,,26,74,26,74,26,74,26,74
08/11/2021,83.897675,84.167,83.850998,83.912003,83.912003,0,32,68,27,73,32,73,27,68
09/11/2021,83.968002,83.982002,83.132004,83.973,83.973,0,34,66,32,68,34,71,29,66
10/11/2021,83.283997,83.943001,83,83.278,83.278,0,33,67,33,67,34,70,30,66
11/11/2021,83.549004,83.649002,83.110001,83.531998,83.531998,0,38,62,33,67,38,68,32,62
12/11/2021,83.150002,83.445999,83.114998,83.144997,83.144997,0,38,62,38,62,40,62,38,60
14/11/2021,#N/A,,,,,,40,60,38,62,40,62,38,60
15/11/2021,83.575996,83.918999,83.410004,83.567001,83.567001,0,41,59,40,60,42,60,40,58
16/11/2021,83.833,84.155998,83.709,83.830002,83.830002,0,40,60,42,58,46,61,39,54
17/11/2021,83.888,83.905998,83.109001,83.891998,83.891998,0,35,65,40,60,41,66,34,59
18/11/2021,83.014999,83.246002,82.68,82.996002,82.996002,0,37,63,34,66,37,69,31,63
19/11/2021,83.171997,83.353996,82.160004,83.139999,83.139999,0,38,62,37,63,40,65,35,60
21/11/2021,#N/A,,,,,,37,63,37,63,37,63,37,63
22/11/2021,82.535004,83.179001,82.459,82.532997,82.532997,0,32,68,37,63,38,68,32,62
23/11/2021,82.973999,83.223,82.664001,82.961998,82.961998,0,34,66,32,68,34,71,29,66
24/11/2021,83.139999,83.227997,82.730003,83.153,83.153,0,38,62,35,65,38,66,34,62
25/11/2021,83.122002,83.191002,82.790001,83.111,83.111,0,34,66,38,62,38,66,34,62
26/11/2021,82.578003,82.578003,80.575996,82.542999,82.542999,0,50,50,36,64,50,65,35,50
28/11/2021,#N/A,,,,,,52,48,50,50,52,52,48,48
29/11/2021,81.195999,81.377998,80.683998,81.219002,81.219002,0,52,48,50,50,54,51,49,46
30/11/2021,81.330002,81.369003,80.184998,81.318001,81.318001,0,52,48,51,49,53,50,50,47
01/12/2021,80.720001,81.472,80.435997,80.725998,80.725998,0,57,43,52,48,57,51,49,43
02/12/2021,80.217003,80.541,79.919998,80.233002,80.233002,0,56,44,58,42,58,48,52,42
03/12/2021,80.094002,80.193001,79.120003,80.102997,80.102997,0,59,41,55,45,59,46,54,41
05/12/2021,#N/A,,,,,,61,39,59,41,61,41,59,39
06/12/2021,79.287003,79.968002,79.093002,79.322998,79.322998,0,52,48,60,40,61,48,52,39
07/12/2021,79.996002,80.916,79.839996,79.975998,79.975998,0,56,44,50,50,57,50,50,43
08/12/2021,80.840309,81.609001,80.676003,80.855003,80.855003,0,51,49,55,45,58,49,51,42
09/12/2021,81.5,81.660004,80.929001,81.495003,81.495003,0,48,52,52,48,53,56,44,47
10/12/2021,81.094002,81.530998,80.837997,81.063004,81.063004,0,50,50,47,53,51,54,46,49
12/12/2021,#N/A,,,,,,51,49,50,50,51,50,50,49
13/12/2021,81.333,81.488998,80.709999,81.328003,81.328003,0,44,56,51,49,52,56,44,48
14/12/2021,81.003998,81.148003,80.488998,80.970001,80.970001,0,43,57,44,56,46,57,43,54
15/12/2021,80.809998,81.394997,80.769997,80.801003,80.801003,0,53,47,43,57,53,57,43,47
16/12/2021,81.820999,82.427002,81.529999,81.797997,81.797997,0,52,48,54,46,56,48,52,44
17/12/2021,81.579002,81.731003,80.934998,81.552002,81.552002,0,54,46,52,48,55,49,51,45
19/12/2021,#N/A,,,,,,54,46,54,46,54,46,54,46
20/12/2021,80.835999,80.942001,80.285004,80.778999,80.778999,0,52,48,54,46,54,52,48,46
21/12/2021,80.825996,81.490997,80.649002,80.807999,80.807999,0,50,50,53,47,57,50,50,43
22/12/2021,81.495003,82.403999,81.239998,81.476997,81.476997,0,42,58,50,50,52,59,41,48
23/12/2021,82.310997,82.877998,82.129997,82.282997,82.282997,0,45,55,42,58,48,58,42,52
24/12/2021,82.767998,82.869003,82.480003,82.780998,82.780998,0,43,57,45,55,46,58,42,54
26/12/2021,#N/A,,,,,,44,56,43,57,44,57,43,56
27/12/2021,82.633003,83.195999,82.620003,82.663002,82.663002,0,42,58,44,56,45,58,42,55
28/12/2021,83.049004,83.429001,82.879997,83.057999,83.057999,0,41,59,42,58,47,61,39,53
29/12/2021,83,83.492996,82.799004,82.989998,82.989998,0,42,58,42,58,44,60,40,56
30/12/2021,83.43,83.747002,83.339996,83.432999,83.432999,0,40,60,43,57,45,60,40,55
31/12/2021,83.410004,83.738998,83.379997,83.412003,83.412003,0,37,63,40,60,42,63,37,58
02/01/2022,#N/A,,,,,,38,62,37,63,38,63,37,62
03/01/2022,83.676003,83.859001,82.853996,83.677002,83.677002,0,38,62,38,62,39,67,33,61
04/01/2022,82.992996,84.167999,82.941002,82.983002,82.983002,0,37,63,39,61,39,67,33,61
05/01/2022,84.112,84.207001,83.759003,84.094002,84.094002,0,37,63,37,63,43,65,35,57
06/01/2022,83.849998,83.876999,82.702003,83.848999,83.848999,0,40,60,36,64,40,69,31,60
07/01/2022,82.999001,83.218002,82.632004,82.987,82.987,0,38,62,41,59,42,64,36,58
09/01/2022,#N/A,,,,,,38,62,38,62,38,63,37,62
10/01/2022,82.987999,83.357002,82.343002,82.990997,82.990997,0,41,59,40,60,45,62,38,55
11/01/2022,82.789001,83.064003,82.581001,82.768997,82.768997,0,40,60,43,57,43,64,36,57
12/01/2022,83.139999,83.658997,82.974998,83.152,83.152,0,41,59,41,59,43,62,38,57
13/01/2022,83.502998,83.741997,83.175003,83.501999,83.501999,0,40,60,40,60,43,62,38,57
14/01/2022,83.069,83.096001,82.108002,83.091003,83.091003,0,42,58,36,64,42,64,36,58
